Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
27/08/2019 01:33:55,43.0258,38.2761,9.42,0.48,ML,2.0,Gevaş (Van),446014
07/02/2017 11:43:13,26.1563,39.544,6.71,0.55,ML,2.2,Ayvacık (Çanakkale),360571
16/09/2024 22:19:17,28.95159,37.06126,6.97,0.33,ML,2.2,Köyceğiz (Muğla),638244
26/06/2025 18:59:35,40.2845,39.22657,7.0,0.82,ML,3.0,Kiğı (Bingöl),665471
11/01/2021 06:44:22,29.9866,38.9398,7.0,0.31,ML,2.5,Dumlupınar (Kütahya),493263
29/09/2019 06:08:22,29.2781,40.6841,11.21,0.24,ML,2.7,Marmara Denizi - [02.78 km] Merkez (Yalova),448444
10/01/2024 17:10:06,28.8636,40.40503,11.2,0.47,ML,3.6,Marmara Denizi - Gemlik Körfezi - [03.36 km] Mudanya (Bursa),615784
27/10/2025 06:36:41,34.02278,36.38361,12.78,0.54,MW,3.8,Silifke (Mersin),687329
03/02/2024 01:17:30,39.12166,38.39116,7.0,0.45,MW,3.9,Sivrice (Elazığ),618388
18/12/2022 18:13:09,36.434,36.40236,11.67,0.4,MW,4.8,Kırıkhan (Hatay),538720
22/07/2024 14:39:22,26.38609,39.68065,10.23,0.23,MW,4.7,Ezine (Çanakkale),633881
08/01/2025 01:30:02,41.74473,39.8855,14.81,0.58,MW,4.5,Pasinler (Erzurum),648158
06/02/2023 01:26:49,36.981,37.2278,6.98,0.42,ML,5.6,Nurdağı (Gaziantep),543429
23/04/2025 09:49:10,28.21539,40.84373,4.91,0.64,MW,6.2,Marmara Denizi - [24.05 km] Silivri (İstanbul),658148
06/02/2023 01:36:28,36.63409,37.12077,11.19,0.29,ML,5.7,Hasanbeyli (Osmaniye),543430
