Network,Code,Longitude,Latitude,Height,Province,District
"TU","ABT",31.3208,40.6058,1794,"Bolu","Mudurnu"
"TU","AKAS",29.6052,36.2326,1165,"Antalya","Kaş"
"TU","AKKT",37.0135,40.7844,1575,"Ordu","Akkuş"
"TU","ATAB",38.2949,37.4696,551,"Şanlıurfa","Bozova"
"TU","AVNT",34.8523,38.7784,1541,"Nevşehir","Avanos"
"TU","AYDN",27.8792,37.6608,716,"Aydın","Çine"
"TU","BALT",33.3858,41.5341,1746,"Kastamonu","Daday"
"TU","BDRM",27.4435,37.065,350,"Muğla","Bodrum"
"TU","BOYT",34.9036,41.4206,1170,"Sinop","Boyabat"
"TU","BSTP",34.1083,37.9505,1318,"Niğde","Bor"
"TU","CDAG",34.3719,39.6236,1136,"Kırşehir","Çiçekdağı"
"TU","COBT",36.2556,36.5197,1710,"Hatay","İskenderun"
"TU","CTKT",34.7896,40.6231,1650,"Çorum","Merkez"
"TU","DNZL",29.0464,37.6897,1716,"Denizli","Pamukkale"
"TU","DVR",32.0075,41.1594,960,"Zonguldak","Devrek"
"TU","ELDT",33.4266,40.4893,1584,"Çankırı","Şabanözü"
"TU","ELZG",38.9849,38.497,1640,"Elazığ","Merkez"
"TU","ERCT",35.7883,38.8117,1905,"Kayseri","Melikgazi"
"TU","ERCT",35.5142,38.6031,1915,"Kayseri","Melikgazi"
"TU","ERMK",32.9113,36.6414,1855,"Karaman","Ermenek"
"TU","ERZC",39.1183,39.9167,2810,"Erzincan","Refahiye"
"TU","ERZM",41.3658,39.9053,2380,"Erzurum","Palandöken"
"TU","GDZ",29.4815,39.0874,1324,"Kütahya","Gediz"
"TU","GOLH",29.5591,37.2365,1090,"Burdur","Gölhisar"
"TU","GRSN",38.2681,40.9244,536,"Giresun","Bulancak"
"TU","GYN",30.7264,40.3533,1279,"Bolu","Göynük"
"TU","GZTT",37.1375,37.1356,1496,"Gaziantep","Şehitkamil"
"TU","GZZT",37.3458,37.1278,1209,"Gaziantep","Şehitkamil"
"TU","GZT",37.5615,37.3553,1021,"Gaziantep","Yavuzeli"
"TU","HAKT",43.7071,37.5579,2153,"Hakkari","Merkez"
"TU","HENT",30.8992,40.8231,583,"Sakarya","Hendek"
"TU","KART",34.3056,41.1697,1946,"Çorum","Kargı"
"TU","KDAG",27.2667,38.4028,997,"İzmir","Bornova"
"TU","KDHN",32.1143,38.5209,1118,"Konya","Kadınhanı"
"TU","KRCT",32.8792,41.0814,1449,"Karabük","Ovacık"
"TU","MANT",28.5579,38.4908,945,"Manisa","Kula"
"TU","MARD",40.7776,37.3132,1290,"Mardin","Artuklu"
"TU","MLTT",38.3617,38.3542,1170,"Malatya","Battalgazi"
"TU","MRFT",33.4547,40.5036,1500,"Çankırı","Eldivan"
"TU","MUGL",28.4675,37.2075,1465,"Muğla","Menteşe"
"TU","NAL",31.3092,40.2094,1390,"Ankara","Nallıhan"
"TU","PERT",37.7358,41.0792,480,"Ordu","Perşembe"
"TU","SEYT",30.8538,39.5236,1172,"Eskişehir","Seyitgazi"
"TU","SGKT",32.0561,40.5733,1890,"Bolu","Dörtdivan"
"TU","SVST",36.9528,39.7722,1665,"Sivas","Merkez"
"TU","TDAG",27.5344,40.9903,148,"Tekirdağ","Süleymanpaşa"
"TU","SART",27.1777,40.6876,680,"Tekirdağ","Şarköy"
"TU","TKTP",30.32,38.04,1788,"Isparta","Keçiborlu"
"TU","TRHT",36.1778,40.3497,1190,"Tokat","Turhal"
"TU","ULDT",29.1357,40.1416,1720,"Bursa","Yıldırım"
"TU","URLA",26.5956,38.3602,495,"İzmir","Urla"
"TU","TVAN",43.4044,38.5235,1970,"Van","Tuşba"
"TU","YAMN",27.1575,38.5531,997,"İzmir","Menemen"
"TU","BEST",41.27,37.8911,959,"Batman","Beşiri"
"TU","BOZC",26.0528,39.8417,202,"Çanakkale","Bozcaada"
"TU","AYVA",26.69,39.3077,100,"Balıkesir","Ayvalık"
"TU","BTOK",28.0311,39.7617,407,"Balıkesir","Altıeylül"
"TU","KELT",39.2556,40.1486,1912,"Gümüşhane","Şiran"
"TU","KAHT",36.8734,37.6307,1830,"Kahramanmaraş","Onikişubat"
"TU","MEST",34.145,36.587,855,"Mersin","Erdemli"
"TU","BNGL",41.1499,38.9521,1968,"Bingöl","Solhan"
"TU","DIGO",43.3742,40.4147,2278,"Kars","Digor"
"TU","ARTV",41.9283,41.1849,2034,"Artvin","Merkez"
"TU","MACK",39.7686,40.9432,611,"Trabzon","Ortahisar"
"TU","BORA",30.4534,39.8801,960,"Eskişehir","Tepebaşı"
"TU","ELBA",28.4307,41.1469,331,"İstanbul","Çatalca"
"TU","AKHS",27.8138,38.8788,370,"Manisa","Akhisar"
"TU","DYDN",43.6889,39.5436,2010,"Ağrı","Diyadin"
"TU","TUTA",42.8137,39.4019,2154,"Ağrı","Tutak"
"TU","HOMI",41.9048,40.0451,2166,"Erzurum","Köprüköy"
"TU","KOPT",40.4972,40.0179,2489,"Erzurum","Aşkale"
"TU","ANDN",36.3453,37.58,1142,"Kahramanmaraş","Andırın"
"TU","KEMA",38.4932,39.2688,1026,"Erzincan","Kemaliye"
"TU","PINB",36.4027,38.6769,2288,"Kayseri","Pınarbaşı"
"TU","TATV",42.2672,38.58,1831,"Bitlis","Tatvan"
"TU","YAYL",36.107,36.0343,1225,"Hatay","Yayladağı"
"TU","GULE",34.7765,37.2837,1625,"Mersin","Tarsus"
"TU","DIYA",40.1208,37.9234,838,"Diyarbakır","Kayapınar"
"TU","YURE",35.6324,36.8259,491,"Adana","Yüreğir"
"TU","AKCD",37.9224,38.2956,1376,"Malatya","Akçadağ"
"TU","BALY",27.6195,39.7403,645,"Balıkesir","Balya"
"TU","BOLV",30.9502,38.7183,1303,"Afyonkarahisar","Bolvadin"
"TU","DURS",28.4742,39.6011,960,"Balıkesir","Dursunbey"
"TU","KHAL",29.4914,38.3704,1130,"Uşak","Karahallı"
"TU","DEMI",28.7162,39.0428,920,"Manisa","Demirci"
"TU","GCAM",27.2418,37.7139,38,"Aydın","Kuşadası"
"TU","TURN",28.2444,36.7753,28,"Muğla","Marmaris"
"TU","ILGA",33.7165,41.0521,2069,"Çankırı","Ilgaz"
"TU","DBOC",41.6667,41.3452,578,"Artvin","Borçka"
"TU","DAGI",41.9142,41.0778,1188,"Artvin","Merkez"
"TU","DBAD",41.6947,41.0183,1139,"Artvin","Yusufeli"
"TU","DDEM",41.7537,40.8925,1425,"Artvin","Yusufeli"
"TU","KUZU",37.075,36.7735,701,"Kilis","Merkez"
"TU","TOKA",36.4783,40.3232,679,"Tokat","Merkez"
"TU","BALAT",33.1198,39.5561,1301,"Ankara","Bala"
"TU","BBAL",33.123,39.5427,1312,"Ankara","Bala"
"TU","KORT",30.3503,37.0007,1304,"Antalya","Korkuteli"
"TU","GAZI",32.3157,36.2347,394,"Antalya","Gazipaşa"
"TU","ERBA",36.7547,40.6814,655,"Tokat","Erbaa"
"TU","SUSE",38.2025,40.2086,1586,"Sivas","Suşehri"
"TU","SCER",37.1286,39.8613,1428,"Sivas","Merkez"
"TU","GEVA",43.0586,38.3122,1672,"Van","Gevaş"
"TU","SIRN",42.413,37.4962,968,"Şırnak","Merkez"
"TU","KAST",33.9286,41.4904,677,"Kastamonu","Merkez"
"TU","HAVZ",35.718,41.0743,575,"Samsun","Havza"
"TU","EUZM",39.6975,39.7073,1250,"Erzincan","Üzümlü"
"TU","PALU",39.9293,38.6943,100,"Elazığ","Palu"
"TU","KIZK",34.1437,36.4803,165,"Mersin","Erdemli"
"TU","EKAR",42.064,39.2559,2129,"Erzurum","Karaçoban"
"TU","EPOS",42.7279,41.5035,1499,"Ardahan","Posof"
"TU","EAK",43.6073,40.736,1605,"Kars","Akyaka"
"TU","EATA",42.4916,39.8622,2770,"Ağrı","Eleşkirt"
"TU","KAMA",36.6677,37.1861,983,"Osmaniye","Bahçe"
"TU","DAD",32.7534,39.9081,864,"Ankara","Çankaya"
"TU","BALA",33.1198,39.5561,1301,"Ankara","Bala"
"TU","BTAS",30.9999,40.5706,732,"Bolu","Mudurnu"
"TU","BCAM",32.0656,40.8158,1207,"Bolu","Yeniçağa"
"TK","3801",35.4999,38.6896,1096,"Kayseri","Melikgazi"
"TK","5102",34.673,37.9678,1229,"Niğde","Merkez"
"TU","ISPR",41.008,40.4873,1200,"Erzurum","İspir"
"TU","BAGO",30.7886,37.9905,958,"Isparta","Eğirdir"
"TU","CUALT",36.7526,39.2734,1471,"Sivas","Altınyayla"
"TU","CUKAN",37.4667,39.3163,1523,"Sivas","Kangal"
"TU","CUGUR",37.2719,38.7237,1401,"Sivas","Gürün"
"TU","CUSAR",36.2444,39.4185,1458,"Sivas","Şarkışla"
"TU","ECAT",40.9742,39.6062,1910,"Erzurum","Çat"
"TU","CAYS",30.4315,40.6665,290,"Sakarya","Erenler"
"TU","ASA",30.7199,40.6915,230,"Sakarya","Hendek"
"TU","TAS",30.6147,40.6006,400,"Sakarya","Akyazı"
"TU","YUT",30.6001,40.8978,150,"Sakarya","Hendek"
"TU","DOK",30.8467,40.5579,635,"Sakarya","Akyazı"
"TU","KAR",30.2065,40.927,260,"Kocaeli","İzmit"
"TU","OFL",30.3771,40.9573,350,"Sakarya","Kaynarca"
"TU","ESE",30.2275,40.7729,437,"Kocaeli","Kartepe"
"TU","CND",31.1771,40.7445,950,"Düzce","Merkez"
"TU","EKI",31.0412,40.544,890,"Bolu","Mudurnu"
"TU","CIN",30.3057,40.436,1100,"Sakarya","Geyve"
"TU","HEN",30.8986,40.8214,590,"Sakarya","Hendek"
"TU","GOK",31.1453,40.6052,1090,"Bolu","Mudurnu"
"TU","AKC",31.2089,40.9723,680,"Düzce","Merkez"
"TU","NEV",27.263,39.954,329,"Çanakkale","Yenice"
"TB","GBZM",29.4501,40.7866,270,"Kocaeli","Gebze"
"TB","KMR",27.069,40.418,40,"Çanakkale","Biga"
"TB","BOZ",28.782,40.534,119,"Yalova","Armutlu"
"TU","ERE",28.8913,40.0453,657,"Bursa","Orhaneli"
"TB","IGD",29.2015,40.2641,165,"Bursa","Gürsu"
"TB","KRC",28.3323,40.2625,443,"Bursa","Karacabey"
"TB","YNK",27.3967,40.8258,370,"Tekirdağ","Süleymanpaşa"
"TU","SNL",28.2092,41.2288,173,"İstanbul","Silivri"
"TB","KKZ",27.3448,41.1269,143,"Tekirdağ","Süleymanpaşa"
"TB","MAR",27.9617,40.967,41,"Tekirdağ","Marmaraereğlisi"
