network,station,latitude,longitude,elevation
KO,MAZI,37.4593,40.4465,1204.0
KO,TOKT,40.3173,36.5443,726.0
KO,GULF,40.914,35.879,1050.0
KO,BASM,37.9194,30.035,897.0
KO,KVT,41.0807,36.0463,649.0
KO,SINP,41.9824,35.0956,100.0
KO,PRSB,41.1044,37.7753,100.0
KO,ELL,36.7483,29.9085,1230.0
KO,KRTD,36.5934,35.4157,47.0
KO,BALB,39.6507,27.8642,266.0
KO,KOZT,37.4795,35.8264,381.0
KO,BODT,37.0622,27.3103,379.0
KO,KCTX,40.2626,28.3353,445.0
KO,URFA,37.4409,38.8213,938.0
KO,BCA,41.445,41.6223,500.0
KO,DYBB,37.9532,40.1393,657.0
KO,LMOS,36.6021,32.6962,1430.0
KO,DOGC,41.3949,26.9852,81.0
KO,YESY,37.7825,33.7431,1206.0
KO,KAVV,41.0638,29.06,138.0
KO,SAUV,40.7401,30.3271,170.0
KO,TKR,40.9893,27.5351,140.0
KO,KUPE,40.8766,36.0489,1050.0
KO,KOUK,40.6572,29.1918,1.0
KO,DENT,37.7539,29.0331,621.0
KO,SVSK,39.9157,36.9925,1630.0
KO,ILIC,39.4518,38.5675,1295.0
KO,GURO,38.5509,42.0322,1388.0
KO,KMRS,37.5087,36.9,590.0
KO,RSDY,40.3971,37.3273,550.0
KO,KRBG,40.3932,27.2977,79.0
KO,DST,39.6041,28.6267,693.0
KO,DAT,36.7308,27.5767,1100.0
KO,YARM,40.9231,35.8266,1050.0
KO,GELI,40.398,26.4742,126.0
KO,AKDM,38.3285,42.98,1662.0
KO,SVRC,38.3775,39.306,1680.0
KO,GOKC,40.1998,25.9183,123.0
KO,OSMT,40.6009,29.7,798.0
KO,DARE,38.5712,37.4832,1080.0
KO,CLDR,39.144,43.9172,2094.0
KO,SIMA,39.0833,28.9825,984.0
KO,KIZT,38.8808,31.883,1222.0
KO,SAFT,41.2398,32.6871,406.0
KO,MDUB,40.4712,31.1976,1109.0
KO,SVRH,39.447,31.523,1000.0
KO,SNOP,42.0195,35.2069,180.0
KO,KEMT,36.6037,30.5558,0.0
KO,SHUT,38.553,30.551,1215.0
KO,DEMR,36.2365,29.9056,168.0
KO,BCK,37.4602,30.5885,858.0
KO,DALY,36.8162,28.6532,100.0
KO,SERE,38.9463,33.564,1216.0
KO,YOZ,39.6376,35.3152,1422.0
KO,SARI,38.4072,36.4181,1673.0
KO,KDZE,41.3132,31.443,410.0
KO,BZK,41.96,34.0035,158.0
KO,RKY,40.6874,27.1776,687.0
KO,BOZY,36.1069,32.9763,9.0
KO,CRLU,41.1428,27.8215,126.0
KO,ARPRA,39.0929,38.3356,1522.0
KO,CANT,40.6062,33.6193,815.0
KO,MLSB,37.2953,27.7767,500.0
KO,SVAN,38.1511,41.1984,650.0
KO,PTK,38.8923,39.3923,1835.0
KO,TASB,39.9838,44.2384,849.0
KO,MRSB,36.7161,28.1969,402.0
KO,SULT,38.1988,33.5157,982.0
KO,MERS,36.8678,34.522,750.0
KO,GMLD,38.0766,26.9157,10.0
KO,MDNY,40.3709,28.8846,116.0
KO,KLYT,41.253,29.042,30.0
KO,RUZG,40.7242,31.7936,1567.0
KO,KHMN,37.3916,37.1574,640.0
KO,KYHL,40.3244,37.8955,1568.0
KO,YER,37.1336,28.284,729.0
KO,HRTX,40.8009,29.6729,573.0
KO,CAND,38.9542,26.8031,157.0
KO,CUKT,37.2473,43.6077,1298.0
KO,CTKS,41.2373,28.5072,47.0
KO,ADVT,40.4332,29.7383,193.0
KO,DIKM,41.6497,35.2578,261.0
KO,TUZL,40.8128,29.2657,12.0
KO,SDAG,38.4396,30.9175,1140.0
KO,YEDI,39.4377,40.5443,1557.0
KO,CHBY,38.5823,32.8902,1086.0
KO,EDC,40.3465,27.8618,257.0
KO,UKOP,41.1288,26.6323,70.0
KO,ANTB,36.8998,30.6538,20.0
KO,APMY,37.4717,29.3018,930.0
KO,GPNR,39.456,26.1331,55.0
KO,BODA,37.0348,27.4304,11.8
KO,KAMT,39.3689,33.7087,1120.0
KO,BUYA,40.8694,29.1278,40.0
KO,AKIN,35.0157,33.4662,225.0
KO,YKBL,40.9908,28.6678,139.0
KO,TAHT,36.3755,36.1855,278.0
KO,LOD,39.8884,32.7634,902.0
KO,GPA,40.2911,30.3171,570.0
KO,GUMT,40.4665,39.478,1326.0
KO,SHAP,39.0231,29.222,1050.0
KO,VRTB,39.1603,41.4558,1498.0
KO,ERCV,39.0198,43.3381,1679.0
KO,GEDZ,39.0445,29.4105,883.0
KO,AGRB,39.5755,42.992,1820.0
KO,BGKT,41.181,28.773,80.0
