Date,Longitude,Latitude,Depth,Rms,Type,Magnitude,Location,EventID
10/05/2026 20:29:56,26.75617,36.7005,41.2,0.41,MW,4.2,Ege Denizi - [56.17 km] Bodrum (Muğla),716630
04/04/2026 05:52:42,43.54194,38.83278,7.0,0.57,MW,5.2,Tuşba (Van),712319
26/03/2026 07:37:08,39.27833,38.47083,11.33,0.44,MW,4.3,Sivrice (Elazığ),711387
20/03/2026 04:52:02,28.03472,39.25139,14.07,0.23,MW,4.0,Sındırgı (Balıkesir),710725
10/03/2026 11:20:20,31.46833,36.56667,40.87,0.89,MW,4.1,Akdeniz - Antalya Körfezi - [18.77 km] Manavgat (Antalya),709521
26/02/2026 17:17:08,37.3125,38.10667,7.0,0.47,MW,4.7,Elbistan (Kahramanmaraş),708164
20/02/2026 03:10:53,36.35972,36.41722,9.27,0.57,MW,4.2,Kırıkhan (Hatay),707438
07/02/2026 06:41:30,28.095,39.23833,7.87,0.65,ML,4.0,Sındırgı (Balıkesir),706108
07/02/2026 06:41:20,28.09861,39.23389,6.84,1.05,MW,4.1,Sındırgı (Balıkesir),706106
26/01/2026 00:47:20,28.31083,39.155,14.78,0.39,MW,4.4,Sındırgı (Balıkesir),704628
24/01/2026 07:34:22,28.29833,39.16111,6.91,0.67,MW,4.2,Sındırgı (Balıkesir),704344
24/01/2026 07:34:13,28.29278,39.185,10.73,0.54,ML,4.1,Sındırgı (Balıkesir),704343
23/01/2026 21:24:37,28.28861,39.18778,11.93,0.66,MW,5.1,Sındırgı (Balıkesir),704198
21/01/2026 20:28:55,28.30056,39.15917,13.65,0.48,MW,4.4,Sındırgı (Balıkesir),703818
21/01/2026 20:11:36,28.32778,39.14833,11.58,0.51,MW,4.1,Sındırgı (Balıkesir),703817
21/01/2026 15:11:49,28.32389,39.135,11.58,0.67,MW,4.5,Sındırgı (Balıkesir),703762
09/01/2026 08:17:42,36.6575,37.91972,12.36,0.56,MW,4.0,Onikişubat (Kahramanmaraş),702487
11/12/2025 07:06:14,28.31639,39.19667,6.97,0.52,MW,4.9,Sındırgı (Balıkesir),698554
09/12/2025 12:34:14,39.88778,39.51278,7.0,0.55,MW,4.2,Pülümür (Tunceli),698298
03/12/2025 12:05:56,44.71778,38.80028,7.0,0.89,MW,4.0,"Khoy, West Azarbaijan (İran) - [39.88 km] Özalp (Van)",697406
17/11/2025 00:32:48,28.16889,39.23444,6.0,0.37,ML,4.0,Sındırgı (Balıkesir),694330
15/11/2025 08:46:18,28.32028,39.14944,12.11,0.32,MW,4.4,Sındırgı (Balıkesir),693892
15/11/2025 00:04:17,28.16,39.24083,7.0,0.49,MW,4.1,Sındırgı (Balıkesir),693765
13/11/2025 04:45:30,28.13972,39.23972,7.01,0.28,MW,4.0,Sındırgı (Balıkesir),693236
13/11/2025 03:21:44,28.17222,39.23556,7.89,0.74,MW,4.2,Sındırgı (Balıkesir),693198
13/11/2025 03:20:24,28.14611,39.24139,7.0,0.75,MW,4.2,Sındırgı (Balıkesir),693199
13/11/2025 03:16:14,28.14806,39.24417,12.31,0.37,MW,4.7,Sındırgı (Balıkesir),693196
11/11/2025 03:08:50,28.17028,39.22694,5.82,0.5,MW,4.0,Sındırgı (Balıkesir),692362
11/11/2025 01:54:23,28.17694,39.22028,8.12,0.43,MW,4.1,Sındırgı (Balıkesir),692332
10/11/2025 21:02:55,28.14167,39.22806,7.0,0.46,MW,4.3,Sındırgı (Balıkesir),692254
10/11/2025 18:20:51,28.145,39.23889,9.64,0.56,MW,4.9,Sındırgı (Balıkesir),692187
10/11/2025 06:41:40,28.29,39.135,10.38,0.4,MW,4.4,Sındırgı (Balıkesir),692018
10/11/2025 02:48:57,28.13944,39.21722,13.25,0.46,MW,4.5,Sındırgı (Balıkesir),691950
09/11/2025 22:06:42,28.14111,39.23778,11.01,0.2,MW,4.5,Sındırgı (Balıkesir),691906
09/11/2025 08:58:50,28.01389,39.22667,7.14,0.34,MW,4.5,Sındırgı (Balıkesir),691792
07/11/2025 01:52:37,28.21694,39.14694,14.71,0.28,MW,4.2,Sındırgı (Balıkesir),691213
06/11/2025 16:15:42,28.16472,39.20833,9.6,0.43,MW,4.3,Sındırgı (Balıkesir),691104
03/11/2025 20:23:35,28.17306,39.22722,4.91,0.41,MW,4.3,Sındırgı (Balıkesir),690226
03/11/2025 12:35:37,28.34083,39.16861,11.02,0.59,MW,4.9,Sındırgı (Balıkesir),690117
02/11/2025 15:49:30,43.88778,41.15556,6.52,0.54,MW,4.2,Shirak (Ermenistan) - [31.28 km] Akyaka (Kars),689817
02/11/2025 12:41:09,28.24389,39.15944,14.13,0.33,MW,4.3,Sındırgı (Balıkesir),689788
01/11/2025 04:58:42,28.25778,39.19667,6.79,0.32,MW,4.2,Sındırgı (Balıkesir),689370
31/10/2025 04:18:50,28.23806,39.18361,12.9,0.53,MW,4.2,Sındırgı (Balıkesir),688980
30/10/2025 20:52:07,28.25861,39.17972,13.58,0.39,MW,4.1,Sındırgı (Balıkesir),688863
28/10/2025 11:49:25,28.23472,39.16056,12.61,0.22,MW,4.0,Sındırgı (Balıkesir),687820
28/10/2025 07:54:13,28.28028,39.20444,7.0,0.83,MW,4.8,Sındırgı (Balıkesir),687722
28/10/2025 07:10:00,28.26639,39.1775,6.22,0.35,MW,4.6,Sındırgı (Balıkesir),687706
28/10/2025 07:06:47,28.26917,39.17056,10.49,0.55,ML,4.0,Sındırgı (Balıkesir),687707
28/10/2025 05:44:53,28.25056,39.175,7.0,0.63,MW,4.2,Sındırgı (Balıkesir),687678
28/10/2025 02:36:30,28.20694,39.1875,7.0,0.53,MW,4.0,Sındırgı (Balıkesir),687581
28/10/2025 00:48:26,28.26167,39.17389,6.29,0.56,MW,4.2,Sındırgı (Balıkesir),687532
28/10/2025 00:42:58,28.28778,39.17194,6.18,0.66,MW,4.3,Sındırgı (Balıkesir),687530
27/10/2025 23:30:13,28.30028,39.16917,7.0,0.67,MW,4.4,Sındırgı (Balıkesir),687493
27/10/2025 22:55:53,28.13917,39.20806,7.0,0.69,MW,4.0,Sındırgı (Balıkesir),687478
27/10/2025 20:04:10,28.20528,39.19,7.0,0.8,MW,4.2,Sındırgı (Balıkesir),687398
27/10/2025 19:51:08,28.14056,39.19556,6.51,0.78,ML,4.0,Sındırgı (Balıkesir),687399
27/10/2025 19:50:34,28.13333,39.19972,7.0,0.65,ML,4.2,Sındırgı (Balıkesir),687397
27/10/2025 19:48:29,28.20056,39.19694,6.07,0.43,MW,6.1,Sındırgı (Balıkesir),687395
14/10/2025 17:33:36,28.07833,39.21556,9.12,0.38,MW,4.0,Sındırgı (Balıkesir),685600
25/09/2025 08:29:33,40.84916,39.92336,7.0,0.99,MW,4.4,Aşkale (Erzurum),682099
23/09/2025 22:27:48,28.18052,39.16969,7.0,0.71,MW,4.5,Sındırgı (Balıkesir),681797
22/09/2025 14:16:33,28.19633,39.16108,14.0,0.62,MW,4.0,Sındırgı (Balıkesir),681493
22/09/2025 09:02:42,28.16447,39.18233,7.0,0.47,MW,4.5,Sındırgı (Balıkesir),681445
21/09/2025 21:05:46,28.17545,39.19122,7.0,0.5,MW,4.9,Sındırgı (Balıkesir),681267
07/09/2025 20:03:19,28.24306,39.20507,6.93,0.58,MW,4.5,Sındırgı (Balıkesir),678803
07/09/2025 17:08:19,28.16006,39.17455,9.62,0.58,MW,4.0,Sındırgı (Balıkesir),678780
07/09/2025 09:41:58,28.16423,39.17138,9.96,0.4,MW,4.1,Sındırgı (Balıkesir),678691
07/09/2025 09:35:09,28.16409,39.1684,7.72,0.52,MW,4.9,Sındırgı (Balıkesir),678689
05/09/2025 07:52:32,28.20253,39.18024,9.23,0.27,ML,4.1,Sındırgı (Balıkesir),678342
04/09/2025 02:30:30,41.14539,36.20776,19.0,0.52,MW,4.3,Haseke (Suriye) - [95.42 km] Nusaybin (Mardin),678083
01/09/2025 20:09:49,28.22104,39.17842,7.0,0.7,MW,4.0,Sındırgı (Balıkesir),677653
27/08/2025 07:29:18,28.21283,39.1867,9.07,0.55,MW,4.2,Sındırgı (Balıkesir),676261
27/08/2025 02:46:18,28.23158,39.20694,10.12,0.4,MW,4.4,Sındırgı (Balıkesir),676193
24/08/2025 19:14:11,28.14582,39.19667,7.01,0.77,MW,4.3,Sındırgı (Balıkesir),675410
24/08/2025 19:00:32,28.15266,39.21822,7.0,0.54,MW,4.2,Sındırgı (Balıkesir),675404
24/08/2025 18:58:18,28.16797,39.19515,7.0,0.64,MW,4.8,Sındırgı (Balıkesir),675403
23/08/2025 11:16:03,28.21126,39.19384,7.0,0.55,MW,4.1,Sındırgı (Balıkesir),674919
22/08/2025 12:21:40,28.19562,39.24594,5.5,0.33,MW,4.3,Sındırgı (Balıkesir),674570
19/08/2025 22:10:34,28.21702,39.2026,4.54,0.45,ML,4.3,Sındırgı (Balıkesir),673597
18/08/2025 08:26:27,28.08928,39.25441,6.72,0.42,MW,4.2,Sındırgı (Balıkesir),672980
16/08/2025 08:21:43,28.1876,39.1508,7.58,0.57,MW,4.0,Sındırgı (Balıkesir),672150
15/08/2025 10:13:46,28.17541,39.21389,7.0,0.38,ML,4.3,Sındırgı (Balıkesir),671580
15/08/2025 09:06:51,28.15501,39.19687,10.19,0.32,ML,4.0,Sındırgı (Balıkesir),671554
14/08/2025 15:07:00,28.07952,39.22428,6.52,0.64,MW,4.0,Sındırgı (Balıkesir),671154
13/08/2025 19:28:21,28.171,39.1977,10.0,0.49,MW,4.0,Sındırgı (Balıkesir),670623
13/08/2025 17:39:15,26.86123,36.31428,56.87,0.95,MW,4.3,Ege Denizi - [66.22 km] Datça (Muğla),670571
12/08/2025 21:30:24,28.16086,39.1903,8.68,0.21,MW,4.1,Sındırgı (Balıkesir),670207
12/08/2025 18:40:11,28.13766,39.1916,10.97,0.24,MW,4.0,Sındırgı (Balıkesir),670155
11/08/2025 20:01:22,28.18334,39.19706,6.86,0.39,MW,4.1,Sındırgı (Balıkesir),669548
11/08/2025 19:54:30,28.17362,39.19863,8.32,0.51,MW,4.0,Sındırgı (Balıkesir),669547
11/08/2025 18:32:36,27.95073,39.23755,13.18,0.39,MW,4.0,Kırkağaç (Manisa),669501
11/08/2025 17:13:33,28.14709,39.20061,8.57,0.38,MW,4.5,Sındırgı (Balıkesir),669465
11/08/2025 16:52:03,28.17011,39.18201,8.71,0.36,MW,4.4,Sındırgı (Balıkesir),669456
11/08/2025 16:37:00,27.98381,39.23269,11.9,0.46,MW,4.1,Sındırgı (Balıkesir),669450
11/08/2025 11:15:05,28.19222,39.21013,10.54,0.43,MW,4.0,Sındırgı (Balıkesir),669363
11/08/2025 01:55:10,28.16479,39.2329,10.39,0.19,MW,4.4,Sındırgı (Balıkesir),669202
11/08/2025 01:00:13,28.11678,39.2026,7.0,0.5,MW,4.1,Sındırgı (Balıkesir),669184
10/08/2025 22:59:13,28.09179,39.19224,14.41,0.82,ML,4.0,Sındırgı (Balıkesir),669151
10/08/2025 19:12:50,28.13248,39.19324,7.47,0.43,MW,4.1,Sındırgı (Balıkesir),669083
10/08/2025 18:31:45,28.17921,39.21034,7.0,0.39,MW,4.2,Sındırgı (Balıkesir),669069
10/08/2025 18:27:52,28.15651,39.16983,13.43,0.84,MW,4.1,Sındırgı (Balıkesir),669067
10/08/2025 17:32:07,28.15453,39.18801,11.63,0.35,MW,4.2,Sındırgı (Balıkesir),669039
10/08/2025 17:06:29,28.0868,39.24028,16.07,0.87,ML,4.0,Sındırgı (Balıkesir),669033
10/08/2025 17:04:14,28.15227,39.20638,7.0,0.31,ML,4.1,Sındırgı (Balıkesir),669032
10/08/2025 17:01:21,28.14087,39.2071,6.78,0.85,MW,4.6,Sındırgı (Balıkesir),669031
10/08/2025 16:53:46,28.06594,39.24504,12.89,0.29,MW,6.1,Sındırgı (Balıkesir),669029
01/06/2025 17:31:27,31.57531,36.54761,12.75,0.29,MW,4.0,Akdeniz - Antalya Körfezi - [14.83 km] Alanya (Antalya),663020
22/04/2025 00:39:39,44.22243,38.18714,6.95,0.37,MW,4.0,Başkale (Van),657992
16/04/2025 02:04:08,37.52388,38.02452,6.98,0.42,MW,4.1,Nurhak (Kahramanmaraş),657480
11/03/2025 18:03:21,44.07344,37.27676,7.0,0.28,MW,4.8,"Mergasur, Erbil (Irak) - [08.83 km] Yüksekova (Hakkari)",655004
08/03/2025 05:26:58,44.15089,40.92626,12.21,0.61,MW,4.6,Lori (Ermenistan) - [42.39 km] Akyaka (Kars),654654
24/02/2025 21:46:02,27.65928,36.05859,11.46,0.57,MW,4.4,Ege Denizi - [70.86 km] Datça (Muğla),653685
11/02/2025 06:16:45,26.47882,36.1819,7.0,0.98,MW,4.0,Ege Denizi - [102.65 km] Datça (Muğla),652143
